# CNN Architecture Comparison

architecture,year,parameters,top1_accuracy,top5_accuracy,depth
LeNet-5,1998,60K,N/A,N/A,7
AlexNet,2012,60M,57.1,80.2,8
VGG-16,2014,138M,71.5,90.1,16
VGG-19,2014,144M,71.1,90.0,19
GoogLeNet,2014,7M,69.8,89.9,22
ResNet-50,2015,25.6M,76.0,92.9,50
ResNet-101,2015,44.5M,77.4,93.6,101
ResNet-152,2015,60.2M,78.3,94.1,152
Inception-v3,2015,23.8M,78.8,94.4,48
DenseNet-121,2017,8M,74.9,92.2,121
DenseNet-169,2017,14M,76.2,93.2,169
MobileNet-v1,2017,4.2M,70.6,89.5,28
MobileNet-v2,2018,3.5M,72.0,91.0,53
EfficientNet-B0,2019,5.3M,77.1,93.3,N/A
EfficientNet-B7,2019,66M,84.3,97.0,N/A
